Spreadsheet Row Number,work_image,structure,role,work_type,work_accession_number,file_accession_number,filename,label,description,Capture date,Staff Initials,Container number ex. Box Number,folder number,Width (cm.),Height (cm.),Date (Year+Month+Day),project_job_number,Notes about album page or photo,Production Notes,Creator,Source,Copyright Notice
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0095_01_a,p0386_grea_b01_f02_0095_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0096_01_a,p0386_grea_b01_f02_0096_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0097_01_a,p0386_grea_b01_f02_0097_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0098_01_a,p0386_grea_b01_f02_0098_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0099_01_a,p0386_grea_b01_f02_0099_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0100_01_a,p0386_grea_b01_f02_0100_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0101_01_a,p0386_grea_b01_f02_0101_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0102_01_a,p0386_grea_b01_f02_0102_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0103_01_a,p0386_grea_b01_f02_0103_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0104_01_a,p0386_grea_b01_f02_0104_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0105_01_a,p0386_grea_b01_f02_0105_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0106_01_a,p0386_grea_b01_f02_0106_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0107_01_a,p0386_grea_b01_f02_0107_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0108_01_a,p0386_grea_b01_f02_0108_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0109_01_a,p0386_grea_b01_f02_0109_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0110_01_a,p0386_grea_b01_f02_0110_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0111_01_a,p0386_grea_b01_f02_0111_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0112_01_a,p0386_grea_b01_f02_0112_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0113_01_a,p0386_grea_b01_f02_0113_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0114_01_a,p0386_grea_b01_f02_0114_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0115_01_a,p0386_grea_b01_f02_0115_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0116_01_a,p0386_grea_b01_f02_0116_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0117_01_a,p0386_grea_b01_f02_0117_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0118_01_a,p0386_grea_b01_f02_0118_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0119_01_a,p0386_grea_b01_f02_0119_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0120_01_a,p0386_grea_b01_f02_0120_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0121_01_a,p0386_grea_b01_f02_0121_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0122_01_a,p0386_grea_b01_f02_0122_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0123_01_a,p0386_grea_b01_f02_0123_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0124_01_a,p0386_grea_b01_f02_0124_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0125_01_a,p0386_grea_b01_f02_0125_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0126_01_a,p0386_grea_b01_f02_0126_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0127_01_a,p0386_grea_b01_f02_0127_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0128_01_a,p0386_grea_b01_f02_0128_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0129_01_a,p0386_grea_b01_f02_0129_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0130_01_a,p0386_grea_b01_f02_0130_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0131_01_a,p0386_grea_b01_f02_0131_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0132_01_a,p0386_grea_b01_f02_0132_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0133_01_a,p0386_grea_b01_f02_0133_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0134_01_a,p0386_grea_b01_f02_0134_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0135_01_a,p0386_grea_b01_f02_0135_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0136_01_a,p0386_grea_b01_f02_0136_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0137_01_a,p0386_grea_b01_f02_0137_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0138_01_a,p0386_grea_b01_f02_0138_01_a.tif,,,,,01,02,,,,p0386,,,,,
